contact.external_id,vendor.id
006414c9-123c-48b2-a2f2-67671d00abd1,86e35b8e-ba68-476e-88d4-7424b66c8894
0083d0b4-b09f-4fbe-b130-4ff1ce341b52,991eb887-4c9e-402a-b4a6-eaa47af38a1e
00e71b0c-fc2d-4714-ae5f-69263be2dc24,8efa0dd0-010d-4d8a-bf75-bd54ea0e776f
02c27a79-8625-4e11-81a6-5abd8815af3d,e6e2d912-5fc3-41ac-83af-37407c112ffb
054e5866-986e-4959-8508-4335e0be134d,b8392d08-f48c-415a-96f7-64beab4762a1
06316895-487f-43e3-bc17-be448749e680,cc8a2d9a-2e09-4c48-a420-2f782002d89e
06316895-487f-43e3-bc17-be448749e680,342de967-97de-44bf-8c7d-1f88da2e87e7
09bafb0d-2270-4b30-9b12-1c41006210af,9321e4e8-827f-4901-9cea-d57bc49f87dc
0a5255d7-4087-4e8e-8b1e-2e7d7da2698d,fe10137a-6342-4d90-ba15-77333cfc42e3
0aaa11ce-6a37-4911-89cd-6c97a114dfa6,aeec07c2-5cc7-4292-8407-997fcc5adb3e
0c3d55e4-448e-49fd-b269-284f1dc175d8,a927d9f0-e21d-41f7-b01b-07451c34699c
0db99b75-9ecd-4d22-99e7-5c23ddc4c723,cc8a2d9a-2e09-4c48-a420-2f782002d89e
0fa487a5-79b6-425c-9b00-486ff3bda99c,bf0be186-5507-491a-a831-298d032bec5f
0fef8332-8b09-4778-b62c-d027e278d47a,2bc2f8f9-4f7e-4d0d-b1f8-24818f27c8a9
11707491-ac38-41e6-a929-68b193b45149,45d567ae-9011-477b-ae0d-ffa7e91a3c6a
159a19b1-3afd-4829-bf28-f40d479e3e0f,bc88da61-bc00-429c-b4a1-ca7394c2dded
15cc7c30-9ab1-4252-a2b9-2f97bf848dba,f333a36c-9388-45f4-afc8-f71984a03104
15dc5fe8-b278-4da8-8bed-bf4938c912d1,de4dab49-0ff7-46b7-b292-60a1f67873e1
15dc5fe8-b278-4da8-8bed-bf4938c912d1,f81be5a4-c5ab-480b-b2b0-0dbd56e3ec26
16b9192a-90bd-4708-b00e-54f51cbfe7d1,95c852b8-7c3b-40be-88cb-4f721d8502cd
1dfcf08d-78ef-4c28-bea0-c5f291efdcf0,b102d2dd-555a-4cd1-b433-ecceafa5bc8e
2016cbc8-9ee7-4f2e-bde9-431dafdc56ce,88b7cac3-035a-4437-af05-0453ce719c13
23d29864-3247-4a71-975b-c3fa3fb9c39b,a1e7af1b-dac3-4e09-9b74-1eaabe3bc906
24526f19-baa1-46f8-985b-a4acd466927f,083f40f3-a187-44c5-97ac-c049868c6945
27588238-4504-46f8-bd8c-da56bfb70cd9,259f4962-0143-4ebc-888a-fec24eb83934
28565984-ecd1-4162-ba95-c4136def91cd,920c9354-7dcf-42e6-9127-82d59c51eb30
2892e301-1003-43e2-a2a5-664742164a5b,a9f87bb5-cd95-490c-871c-2e62a7f674f0
2cdb9682-c985-4b92-a2b5-8ee44f1d9fcb,bf70c550-0fcc-4692-bdb1-f16fd68a1113
2e8ef101-0511-4ed0-aa81-e36bc1354c4e,8635936b-c164-4a8b-95d9-185b6ef1abdf
30613645-5684-4390-9e03-8cb3505555fe,5a753ca7-52b8-489d-9f3f-9e8471df7375
32240df8-ea8a-4e6e-8e56-d2fd9c03f681,17d222ec-4116-426b-9cf4-dacf5935a159
35c00e51-ebb0-4b19-94f4-1a313c3bf185,68897fac-db67-42ca-8d6d-5a991ee5c38f
384adb7b-ece4-4600-acc1-9ef9368317ad,f024eacd-54ec-4100-b6d4-67567d3f62a3
3a64e89a-3a1e-4b43-85a2-18a8b0dcc58b,aa0029d7-b914-4226-892f-9ee080168789
3e6ce801-9f0e-4be5-80c1-78a6e3dc3af3,cb32fb78-95ca-4bbc-8cf7-7a27f28a90d9
3f18eecc-3cce-4e65-9c99-29a2eb9d638d,78caa631-cd0f-48f5-8fa4-146fdf66a8eb
40001d63-ebe8-41e9-a475-300ce7092a25,4f997382-d812-4b81-a3fd-ae9d3cafb655
40d9df31-a432-47fe-abfd-cdf09bd8b2ef,3932823d-cd20-45ca-911e-ee22b4bf85f9
443836f0-b7c1-4080-957d-87feff7af67f,edc702f9-f4ef-4f5d-9137-24a6e06e4ddc
4593a5b2-40fc-46be-9d66-a3f95a4c5bdf,558929d2-120f-4c21-95b5-dd808e23ff5e
464e9729-42f2-4da5-967f-64640adaef3c,fbf3c9cf-cad2-48ea-b41e-9e3e1b1e77f5
4916c90a-3d00-4842-a6d2-317f82259ec2,a0a0af97-3f46-4548-bc15-b9c963770d55
4b91564c-6f06-432c-a164-ede9e5fc31d1,2a05620f-3ede-4674-8505-b459f688d2f5
4bfa51e0-f8b7-4a29-b7e7-03230c867c59,06f3444b-b1b7-44b2-9635-78de49176b59
4c7e69e9-53b3-4045-b55c-859264770da7,63e73133-371c-4400-9a57-9b32fcbf91df
4fa37f85-c5c7-4c6e-950e-7459a43e57f5,2cdf9388-947f-4568-bd84-266516a8377e
4fa37f85-c5c7-4c6e-950e-7459a43e57f5,ccf2a3f2-87ea-4815-8d82-3eee3ca05a9b
5118dccb-46d5-4492-8e99-e516223df01c,806cf812-e7a0-4852-8503-1eb860c245bd
51278567-c952-48c5-8427-b777a1ba3196,5cdd64bb-6a63-497b-8386-295ce69265ff
51f9d17d-49b5-437f-b534-f5bf4fba6ecd,416f90df-616e-4df8-b619-74c3b5b8ac1a
5357c0ae-ee18-48b3-bfab-cfe4ffc0078d,8a673e6b-14dc-4ef1-8917-b1680ad4fb08
54030e35-951f-459b-88be-5e7d8c1be11e,3ed31a2e-b533-48eb-a47a-7f44481a3c4d
5528fc32-3e5d-439d-b3ba-781421c2f18d,03767364-2626-4f0c-93a5-32db75589b91
55d1e4d8-1bdb-4f11-838b-a908fed9ad2f,9ad20b8b-e43c-4c9a-8e0f-25657d0f168b
599d0ea3-8d8f-4a95-b535-e1e13928b718,5ecf479b-0004-4762-8bf4-765012e79af7
62f86333-ae73-447f-b6dd-3edaa9b648ad,342eb1bb-095d-4e9d-932a-a683fae56448
6440b614-92f7-4d98-82f8-fe3451a1cd1d,bbf94c37-592d-4f56-be1b-80b458340403
66afe551-aae0-48f7-b95c-dca0185dc155,7ce0431e-f6d3-48db-90e9-7f014e8fbb96
679b24ae-3d2d-487c-8e64-7ea739b570dc,7fdd01f4-4f77-4738-8386-b9077f1eb1e2
691cbdad-624f-41f8-841f-5539741ff5b4,104674ea-817c-4def-b206-e490b40d7267
69277169-826e-49f9-84c2-642b8f2414ac,16101e10-3fad-437d-99ac-94c8ad6888d7
6e78b086-0472-453c-b55c-084e5bb9957d,18d85df9-f282-4333-baee-976ad8fd2ace
7026c6e6-ce6d-470e-a35f-e8359bc0427c,a9db2940-72c0-4191-a4fc-16bee8894ce2
7181ed88-278f-4842-b3ed-b850110bba65,ccf2a3f2-87ea-4815-8d82-3eee3ca05a9b
7181ed88-278f-4842-b3ed-b850110bba65,2cdf9388-947f-4568-bd84-266516a8377e
7482523d-b63c-405e-b564-eb7efd302fe0,0deb457e-0dd7-4533-be06-6d6261959282
76e2b9b0-a850-45d0-a82b-6a2425413d23,7396c8c6-b3fb-4ee6-8f88-7eb24aa106c6
7b091da8-87a7-4d25-9b54-95818d29c6a9,bbf94c37-592d-4f56-be1b-80b458340403
7d1b65cf-3b34-4090-a827-b06260d7d378,c752eaf8-a24c-4e35-8691-a393081b7178
7e73061c-07b1-4f1c-9855-76d1462f267f,4f997382-d812-4b81-a3fd-ae9d3cafb655
83773e0f-603b-4776-b889-bfe8ccacf241,51f0e687-ff2b-4468-a5c8-624e50bdf7e5
86512456-ecf9-44b1-8e1a-67d24166e925,987afe7a-2e2b-4c78-8898-e79b94e7e912
86f2d40e-c983-4d03-98cc-020939b5c001,5b85cce7-0bc7-4fa7-b3f0-a0ef4ce84cbd
8be92dfe-5efc-407c-b54d-e978ec2ee8d2,58356fdf-37a3-487e-89cd-c080b293aedf
8cafa796-0848-4af0-8b62-50490949765f,f81be5a4-c5ab-480b-b2b0-0dbd56e3ec26
8cafa796-0848-4af0-8b62-50490949765f,de4dab49-0ff7-46b7-b292-60a1f67873e1
8f16e79f-e017-4ac3-b995-cf20e71784ff,df0dd604-4702-48dc-99c4-7b40db668c20
90213b8a-94a9-4e10-be6a-5e1e87d4ea5f,a879efc9-2103-487c-b0d8-bdfa2547d455
921530eb-7f26-4dd9-bc1a-8df69a3687db,2a7c733a-dbb1-4660-8154-5b7f62fdf5f2
