external_id,name,neighborhood,address,phone,is_active,email,instagram_account,website,long_description
0012f332-bf34-4ccd-b37e-2f8d324f00df,Lodi,Midtown,"1 Rockefeller Plaza, New York, NY 10020",(212) 597-2735,,,lodinyc,https://lodinyc.com/,"Ignacio Mattos’ Rockefeller Center restaurant is inspired by Italian all-day cafes, reliable outposts equally outfitted for a quick morning espresso and pastry or a leisurely afternoon lunch. Later in the day, it’s all about aperitivo, whether you fancy a spritz or one of the finest martinis the city has to offer. Antipasti are the star of the show, but there are a few secondi should you crave something a bit more substantial."
00293e19-399d-4e55-bba9-bccb10865e6b,Osteria Mozza,Hancock Park,"6602 Melrose Avenue, Los Angeles, CA 90038",,,,osteriamozza,https://www.osteriamozza.com/,"Chef Nancy Silverton’s Hancock Park flagship continues to deliver some of the city’s best California style Italian (a genre she arguably pioneered, for what it’s worth) - from the namesake mozzarella bar to handmade pastas, seasonal salads, and simple, perfectly executed secondi, it’s hard to order incorrectly at Mozza. The Primo Ministro Room, boldly decked out in red and black with selections from the restaurant’s formidable wine cellar lining the walls, features a long table that seats up to 22 guests. A partial buyout, combining the Primo Ministro with the adjoining patio, accommodates up to 36 seated guests."
02d45b7c-a14b-44e0-b66e-9420b223d2d0,El Quijote,Chelsea,"226 West 23rd Street, New York, NY 10011",(212) 518-1843,,,elquijotenyc,https://www.elquijotenyc.com/private-events/,"Since 1930, El Quijote has charmed New Yorkers with robust Spanish fare and festive cocktails. Situated on the ground floor of the iconic Hotel Chelsea, the dining room - a nostalgic caramel and mahogany vision dominated by a mural depicting the windmill scene from the eponymous Cervantes text - has entertained generations of downtown darlings, chief among them Patti Smith. Sunday Hospitality oversaw a thoughtful restoration of the space in 2021, stripping away linoleum flooring to reveal ceramic tiling and forgoing the white tablecloths in favor of a more casual look; despite the trend toward nostalgia, culinary director Jaime Young and chef de cuisine Byron Hogan have masterfully refreshed the menu’s relationship with contemporary Spanish cooking."
06779c95-2f63-4b1e-a705-1cb796dc0df0,Sofreh,Prospect Heights,"75 Saint Marks Avenue, Brooklyn, NY 11217",646-798-1690 ,,,sofreh_brooklyn,https://www.sofrehnyc.com/,"Just off Flatbush Avenue, Sofreh serves traditional Persian fare in a stylish and sleek whitewashed dining room framed by dark paneling. Named after the Persian term for a place where loved ones gather and share a meal, chef-owner Nasim Alikhani welcomes guests into her restaurant with thoughtful offerings of fragrant saffron rice and freshly baked breads, perfect for soaking up herbaceous stews, flavorful braises, and borani prepared with housemade yogurt. For groups, the downstairs dining room offers two long tables seating up to 20, where the small plates can and should be passed around."
06ffc9d6-81c8-4140-b5b3-0feb8635397e,Jongro BBQ,Koreatown,"22 W 32nd Street, 2nd floor, New York, NY 10001",,,,jongrobbq_nyc,https://www.jongrobbqny.com/,"Situated on the second floor of a discreetly marked building in the heart of K-Town, Jongro BBQ made its North American debut in New York City in 2015. This beloved Korean barbecue spot offers a spacious dining room that pays homage to its South Korean roots, with old movie posters dotting the walls throughout. The wooden tables lining the space, each paired with their own personal grill, provide the ideal setting for you and your cronies to pop up at for a casual night out. One of Jongro BBQ's standout offerings is the Beef Platter, an impressive spread featuring brisket, skirt steak, ribeye, marinated chuck, and kalbi (marinated short rib). Reservation? Optional. If you end up waiting in line, no worries — they’ll keep you and your group happy with beer while you wait for your table."
07c61f03-548f-47be-9298-2811a7eeb891,Manero's on Mulberry,Little Italy,"113 Mulberry Street, New York, NY 10013",(212) 961-6183,FALSE,,manerosofmulberry,https://manerosofmulberry.com/,"Manero's of Mulberry is a classic red sauce joint a in the heart of Little Italy paying homage to John Travolta's iconic Saturday Night Fever character.  Immerse yourself in the nostalgia of a bygone era as you gather with family, friends, or coworkers to savor the classics—spaghetti and meatballs, rice balls, and more. As the clock strikes midnight, the bar provides the opportunity for some late-night indulgence by serving up individual slices to patrons in need. The drink menu also pays tribute to the powerful women of Studio 54's heyday, which Manero's clearly takes much of its inspiration from. Loosen your inhibitions with a ""Bianca Jagger"" cocktail, slip out of your wooden booth, and enjoy the shimmering disco ball with a group of up to 150 people."
07cfe613-f88d-4b24-998b-7c3de6697678,Gage and Tollner,Downtown Brooklyn,"372 Fulton Street, Brooklyn, NY 11201",347-689-3677,,alex@gageandtollner.com,gage,https://www.gageandtollner.com/,
080b9244-daa0-48e6-8e37-c6df4774bec2,Ernesto's,Lower East Side,"259 E Broadway, New York, NY 10002",,,,ernestosnyc,https://www.ernestosnyc.com/,"Ernesto's is one of our Lower East Side stalwarts, offering a robust take on Basque cuisine in a dimly lit dining room off East Broadway. We like to post up at the bar, where you could easily make a meal out of pintxos and excellent wines by the glass, but in case you're rolling in with say eight to eleven guests, there's a four course prix fixe option that features all of Chef Ryan Bartlow's hits served family style."
0916cf6a-e3b5-4ca2-92cd-0c2f7ed08d6e,Gem Wine,Lower East Side,"297 Broome Street, New York, NY",(917) 741-8954,,,gem,https://www.gem-nyc.com/,"In the fall of 2023, Gem Wine moved out of its original location on Broome and into the Forsyth Street space which previously housed Flynn McGarry’s debut restaurant, Gem, allowing the wine bar to double its seating capacity and expand food offerings with a full kitchen. The fine dining wunderkind offers more relaxed fare at the Copenhagen-inspired wine bar, an understated and homey space he largely designed himself, with custom cherry wood tables, ceramic fish sconces, and a whimsical collection of nautical accent pieces - in the chef’s own words, “if a Shaker lived at the beach.” If that sounds like a party to you, the space can be booked out for up to 50 guests. (We hope you’ll invite us.)"
0e25ce1a-76e6-4a42-abe4-244f8422969d,Semma,West Village,"60 Greenwich Avenue, New York, NY 10011",,,,semmanyc,https://www.semma.nyc/,"Semma, Unapologetic Foods' venture in the heart of the West Village,  shines a spotlight on the richness of Southern Indian cuisine. Designed for leisurely nights, Semma offers elevated yet unpretentious takes on regional dishes. From the adventurous nathai pirattal, snails stir-fried with onions and tomatoes, to the diyal Kool, a soup infused with scallops, squid, and prawns, each bite takes you through a unique flavor journey rarely experienced outside of local homes and neighborhoods. The space exudes style and relaxation, making it the perfect spot for your next shared dinner outing."
